1020,250,20,0
1000,250,20,0
980,250,20,0
960,250,20,0
940,250,20,0
920,250,20,0
900,250,20,0
880,250,20,0
860,250,20,0
840,250,20,0
820,250,20,0
800,250,20,0
780,250,20,0
760,250,20,0
740,250,20,0
720,250,20,0
700,250,20,0
680,250,20,0
660,250,20,0
640,250,20,0
620,250,20,0
600,250,20,0
580,250,20,0
560,250,20,0
540,250,20,0
520,250,20,0
500,250,20,0
480,250,20,0
460,250,20,0
440,250,20,0
420,250,20,0
400,250,20,0
380,250,20,0
360,250,20,0
340,250,20,0
320,250,20,0
300,250,20,0
280,250,20,0
260,250,20,0
240,250,20,0
220,250,20,0
200,250,20,0
180,250,20,0
160,250,20,0
140,250,20,0
120,250,20,2
100,250,20,2
1020,325,20,0
1000,325,20,0
980,325,20,0
960,325,20,0
940,325,20,0
920,325,20,0
900,325,20,0
880,325,20,0
860,325,20,0
840,325,20,0
820,325,20,0
800,325,20,0
780,325,20,0
760,325,20,0
740,325,20,0
720,325,20,0
700,325,20,0
680,325,20,0
660,325,20,0
640,325,20,0
620,325,20,0
600,325,20,0
580,325,20,0
560,325,20,0
540,325,20,0
520,325,20,0
500,325,20,0
480,325,20,0
460,325,20,0
440,325,20,0
420,325,20,0
400,325,20,0
380,325,20,0
360,325,20,0
340,325,20,0
320,325,20,0
300,325,20,0
280,325,20,0
260,325,20,0
240,325,20,0
220,325,20,0
200,325,20,0
180,325,20,1
160,325,20,1
140,325,20,1
120,325,20,1
100,325,20,1
80,325,20,1
60,325,20,1
40,325,20,1
20,325,20,1
0,325,20,1
-20,325,20,1
-40,325,20,1
-60,325,20,0
-80,325,20,0
-100,325,20,0
-120,325,20,0
-140,325,20,0
1020,325,20,0
1000,325,20,0
980,325,20,0
960,325,20,0
940,325,20,0
920,325,20,0
900,325,20,0
880,325,20,0
860,325,20,0
840,325,20,0
820,325,20,0
800,325,20,0
780,325,20,0
760,325,20,0
740,325,20,0
720,325,20,0
700,325,20,0
680,325,20,0
660,325,20,0
640,325,20,0
620,325,20,0
600,325,20,0
580,325,20,0
560,325,20,0
540,325,20,0
520,325,20,0
500,325,20,0
480,325,20,0
460,325,20,0
440,325,20,0
420,325,20,0
400,325,20,0
380,325,20,0
360,325,20,0
340,325,20,0
320,325,20,0
300,325,20,0
280,325,20,0
260,325,20,1
240,325,21,1
219,325,21,1
198,325,21,1
177,325,21,1
156,325,21,1
135,325,21,1
114,325,21,0
93,325,21,0
72,325,21,0
51,325,21,0
30,325,21,0
9,325,21,0
-12,325,21,0
-33,325,21,0
-54,325,21,0
-75,325,21,0
-96,325,21,0
-117,325,21,0
1020,250,21,0
999,250,21,0
978,250,21,0
957,250,21,0
936,250,21,0
915,250,21,0
894,250,21,0
873,250,21,0
852,250,21,0
831,250,21,0
810,250,21,0
789,250,21,0
768,250,21,0
747,250,21,0
726,250,21,0
705,250,21,0
684,250,21,0
663,250,21,0
642,250,21,0
621,250,21,0
600,250,21,0
579,250,21,0
558,250,21,0
537,250,21,0
516,250,21,0
495,250,21,0
474,250,21,0
453,250,21,0
432,250,21,0
411,250,21,0
390,250,21,0
369,250,21,2
348,250,21,2
327,250,21,2
306,250,21,2
285,250,21,2
264,250,21,2
243,250,21,2
222,250,21,2
201,250,21,2
180,250,21,2
159,250,21,2
138,250,21,2
117,250,21,2
96,250,21,2
75,250,21,2
54,250,21,2
33,250,21,2
12,250,21,2
-9,250,21,2
-30,250,21,2
-51,250,21,2
-72,250,21,2
-93,250,21,2
-114,250,21,2
-135,250,21,2
-156,250,21,2
-177,250,21,2
1020,325,21,2
999,325,21,2
978,325,21,2
957,325,21,2
936,325,21,2
915,325,21,2
894,325,21,2
873,325,21,2
852,325,21,2
831,325,21,0
810,325,21,0
789,325,21,0
768,325,21,0
747,325,21,0
726,325,21,0
705,325,21,0
684,325,21,0
663,325,21,0
642,325,21,0
621,325,21,0
600,325,21,0
579,325,21,0
558,325,22,0
536,325,22,0
514,325,22,0
492,325,22,0
470,325,22,0
448,325,22,0
426,325,22,0
404,325,22,0
382,325,22,0
360,325,22,0
338,325,22,0
316,325,22,0
294,325,22,0
272,325,22,0
250,325,22,0
228,325,22,0
206,325,22,0
184,325,22,0
162,325,22,0
140,325,22,0
118,325,22,0
96,325,22,1
1020,250,20,0
1000,250,20,0
980,250,20,0
960,250,20,0
940,250,20,0
920,250,20,0
900,250,20,0
880,250,20,0
860,250,20,0
840,250,20,0
820,250,20,0
